ep_1,ep_2,ep_3,ep_100,ep_2500,ep_5000,ep_10000,ep_25000,ep_50000,ep_100000,hs_1,hs_2,hs_3,hs_100,hs_2000,hs_5000,hs_10000,hs_20000,lp_1,lp_2,lp_3,lp_10,lp_50,lp_100,lp_250,lp_500,name_jp,start_date,boost_date,end_date,count
3529031,3343340,3090000,1145874,224714,87764,56761,43521,32151,4658,1533049,1523573,1519966,1476286,1376524,1317350,1265412,1194689,39883306,23206508,15239613,10827125,3638039,2414958,1678557,1208612,プラチナスターシアター～G♡F～,2019-10-03T15:00:00+09:00,2019-10-07T15:00:00+09:00,2019-10-10T20:59:59+09:00,144926
4500765,4402420,4394462,2300628,357884,106322,62276,44647,33664,10104,1243357,1233862,1225900,1193066,1125422,1083186,1042357,986602,71502119,38165264,25429034,15499740,5384759,3068654,1982487,1384146,プラチナスターツアー～World Changer～,2019-10-20T15:00:00+09:00,2019-10-24T15:00:00+09:00,2019-10-27T20:59:59+09:00,135097
3070438,2919999,2898501,1594443,217011,74204,51325,34068,30527,2148,1520758,1498732,1493072,1450830,1352719,1304664,1259374,1201499,60695019,38521131,34316869,15109428,3548075,2205222,1453873,1038110,プラチナスターシアター～待ちぼうけのLacrima～,2019-11-02T15:00:00+09:00,2019-11-05T15:00:00+09:00,2019-11-08T20:59:59+09:00,126901
4239503,4000503,3986852,2058446,377046,101742,59760,41822,32824,3024,1228469,1222570,1217840,1187560,1126498,1088749,1050998,998229,55256273,26579638,26134864,16478400,4413745,2996301,1911649,1326689,プラチナスターツアー～Cherry Colored Love～,2019-11-18T15:00:00+09:00,2019-11-22T15:00:00+09:00,2019-11-25T20:59:59+09:00,116126
3388443,3280968,3203944,1664911,233735,78558,51944,35357,30856,1573,1479480,1478004,1472036,1430995,1333120,1285112,1240114,1182624,38465646,26920616,23452022,11286596,3643702,2530219,1563893,1090374,プラチナスターシアター～瞳の中のシリウス～,2019-12-01T15:00:00+09:00,2019-12-05T15:00:00+09:00,2019-12-08T20:59:59+09:00,123210
4076539,3907650,3841000,1240936,189490,75450,55012,40156,32218,2093,1244144,1229786,1228476,1190230,1121762,1082642,1044732,991219,26042106,24719602,17725715,10933517,2979161,2164852,1517320,1078935,プラチナスターツアー～Fermata in Rapsodia～,2019-12-17T15:00:00+09:00,2019-12-21T15:00:00+09:00,2019-12-24T20:59:59+09:00,114586
4079549,3836242,3800000,1908345,333190,95719,55512,40312,32025,4949,1599542,1599140,1599051,1553382,1450471,1391335,1334446,1258208,54385110,32340011,27453933,15659281,4888286,2719288,1813377,1285679,プラチナスターシアター～俠気乱舞～,2020-01-02T15:00:00+09:00,2020-01-06T15:00:00+09:00,2020-01-10T20:59:59+09:00,152238
4392626,4210984,4034870,2214674,454786,109824,60664,42342,33056,7784,1244529,1233961,1231755,1193336,1131804,1092411,1051912,992570,59571820,32818901,27006367,18864701,5561930,3465460,2143412,1449753,プラチナスターツアー～百花は月下に散りぬるを～,2020-01-20T15:00:00+09:00,2020-01-24T15:00:00+09:00,2020-01-27T20:59:59+09:00,131891
3630038,3559443,3017692,1632700,195047,68940,51325,35178,30754,2148,1610054,1605495,1602333,1545700,1440546,1377420,1312821,1221196,33192502,28315087,25708467,12463137,3334890,2097670,1403509,1017021,プラチナスターシアター～メメント？モメント♪ルルルルル☆～,2020-02-02T15:00:00+09:00,2020-02-06T15:00:00+09:00,2020-02-09T20:59:59+09:00,129795
4462598,4318470,4229762,1680988,244526,80558,55524,40168,32190,1644,1235086,1227862,1226450,1198629,1143854,1107505,1068646,1011115,34330529,27790437,23662828,11031216,3916973,2495231,1587162,1140175,プラチナスターツアー～Super Duper～,2020-02-18T15:00:00+09:00,2020-02-22T15:00:00+09:00,2020-02-25T20:59:59+09:00,111308
3400000,3299999,3245249,1359423,177130,67399,50985,34469,30482,985,1569436,1568245,1567843,1525600,1420262,1366959,1313239,1232470,57044609,20099330,19447935,10161836,3045741,1949294,1320408,952888,プラチナスターシアター～Beat the World!!!～,2020-03-02T15:00:00+09:00,2020-03-06T15:00:00+09:00,2020-03-09T20:59:59+09:00,119675
3100808,3000000,2902419,819340,115723,59119,50230,33828,30227,630,1620841,1587611,1579508,1541967,1462676,1411277,1357878,1282035,17034718,14101076,12741628,7858807,2265401,1666515,1212475,866186,プラチナスターシアター～Helloコンチェルト～,2020-04-02T15:00:00+09:00,2020-04-06T15:00:00+09:00,2020-04-09T20:59:59+09:00,117118
5104584,5000001,4900765,3175140,236591,78993,55952,40192,31848,1140,1260588,1257453,1255450,1225999,1165801,1127181,1087023,1024399,88282175,81378994,48861222,18169665,4434062,2460469,1598479,1093545,プラチナスターツアー～クルリウタ～,2020-04-19T15:00:00+09:00,2020-04-23T15:00:00+09:00,2020-04-26T20:59:59+09:00,108096
3821636,3739503,3588008,1051156,100428,57365,50193,33405,30149,170,1555039,1549519,1549518,1495780,1416733,1367126,1314411,1233530,25918440,24482057,19450640,10172208,2385093,1644874,1154805,806314,プラチナスターシアター～Bigバルーン◎～,2020-05-02T15:00:00+09:00,2020-05-06T15:00:00+09:00,2020-05-09T20:59:59+09:00,105485
4850000,4644056,4000000,1721579,140350,67087,52724,38264,31092,-1,1272509,1257800,1248783,1219664,1165125,1128631,1089659,1027292,24245659,22464991,21550504,11902233,3158599,2039108,1327629,949621,プラチナスターツアー～絶対的Performer～,2020-05-18T15:00:00+09:00,2020-05-22T15:00:00+09:00,2020-05-25T20:59:59+09:00,97563
4000000,3690063,3610765,2569951,427005,104068,55830,39906,31726,1770,1566301,1546571,1542428,1485173,1397394,1347836,1300033,1225972,49904777,48602457,34802000,24108828,5978272,3136243,2001099,1370414,プラチナスターシアター～アライブファクター～,2020-05-31T15:00:00+09:00,2020-06-04T15:00:00+09:00,2020-06-08T20:59:59+09:00,127550
